Team,Season,Tier
Barnsley,1996-97,2
Barnsley,1998-99,2
Barnsley,1999-00,2
Blackburn Rovers,1999-00,2
Blackburn Rovers,2000-01,2
Bolton Wanderers,1994-95,2
Bolton Wanderers,1996-97,2
Bolton Wanderers,1998-99,2
Bolton Wanderers,1999-00,2
Bradford City,1999-00,1
Bradford City,2001-02,2
Burnley,2025-26,
Charlton Athletic,1999-00,2
Charlton Athletic,2007-08,2
Coventry City,1999-00,1
Coventry City,2001-02,2
Crystal Palace,1991-92,1
Crystal Palace,1993-94,2
Crystal Palace,1995-96,2
Crystal Palace,1996-97,2
Crystal Palace,1998-99,2
Crystal Palace,1999-00,2
Ipswich Town,1995-96,2
Ipswich Town,1996-97,2
Ipswich Town,2025-26,
Ipswich Town,2026-27,
Leicester City,1993-94,2
Leicester City,1995-96,2
Leicester City,2025-26,
Leicester City,2026-27,
Luton Town,2025-26,
Manchester City,1996-97,2
Manchester City,1999-00,2
Manchester City,2001-02,2
Middlesbrough,1991-92,2
Middlesbrough,1993-94,2
Middlesbrough,1994-95,2
Norwich City,1995-96,2
Norwich City,1996-97,2
Nottingham Forest,1991-92,1
Nottingham Forest,1993-94,2
Nottingham Forest,1999-00,2
Nottingham Forest,2000-01,2
Oldham Athletic,1994-95,2
Oldham Athletic,1995-96,2
Queens Park Rangers,1996-97,2
Sheffield United,1994-95,2
Sheffield United,1995-96,2
Sheffield United,2007-08,2
Sheffield United,2025-26,
Sheffield Wednesday,1999-00,1
Sheffield Wednesday,2000-01,2
Sheffield Wednesday,2001-02,2
Southampton,2025-26,
Southampton,2026-27,
Sunderland,1995-96,2
Sunderland,1998-99,2
Swindon Town,1992-93,2
Swindon Town,1994-95,2
Swindon Town,1995-96,3
Watford,1998-99,2
Watford,1999-00,1
Watford,2000-01,2
Watford,2001-02,2
Watford,2007-08,2
West Bromwich Albion,2001-02,2
West Bromwich Albion,2007-08,2
Wimbledon,1999-00,1
Wimbledon,2000-01,2
Wimbledon,2001-02,2
